,highlight
2019-04-30 10:40:36,0
2019-04-30 10:40:37,0
2019-04-30 10:40:38,0
2019-04-30 10:40:39,0
2019-04-30 10:40:40,0
2019-04-30 10:40:41,0
2019-04-30 10:40:42,0
2019-04-30 10:40:43,0
2019-04-30 10:40:44,1
2019-04-30 10:40:45,0
2019-04-30 10:40:46,0
2019-04-30 10:40:47,0
2019-04-30 10:40:48,0
2019-04-30 10:40:49,0
2019-04-30 10:40:50,0
2019-04-30 10:40:51,0
2019-04-30 10:40:52,1
2019-04-30 10:40:53,0
2019-04-30 10:40:54,0
2019-04-30 10:40:55,0
2019-04-30 10:40:56,0
2019-04-30 10:40:57,0
2019-04-30 10:40:58,0
2019-04-30 10:40:59,0
2019-04-30 10:41:00,0
2019-04-30 10:41:01,0
2019-04-30 10:41:02,0
2019-04-30 10:41:03,0
2019-04-30 10:41:04,0
2019-04-30 10:41:05,0
2019-04-30 10:41:06,0
2019-04-30 10:41:07,0
2019-04-30 10:41:08,0
2019-04-30 10:41:09,0
2019-04-30 10:41:10,0
2019-04-30 10:41:11,0
2019-04-30 10:41:12,0
2019-04-30 10:41:13,0
2019-04-30 10:41:14,0
2019-04-30 10:41:15,0
2019-04-30 10:41:16,0
2019-04-30 10:41:17,0
2019-04-30 10:41:18,0
2019-04-30 10:41:19,0
2019-04-30 10:41:20,0
2019-04-30 10:41:21,0
2019-04-30 10:41:22,0
2019-04-30 10:41:23,0
2019-04-30 10:41:24,0
2019-04-30 10:41:25,0
2019-04-30 10:41:26,0
2019-04-30 10:41:27,0
2019-04-30 10:41:28,0
2019-04-30 10:41:29,0
2019-04-30 10:41:30,0
2019-04-30 10:41:31,0
2019-04-30 10:41:32,0
2019-04-30 10:41:33,0
2019-04-30 10:41:34,0
2019-04-30 10:41:35,0
2019-04-30 10:41:36,0
2019-04-30 10:41:37,0
2019-04-30 10:41:38,0
2019-04-30 10:41:39,0
2019-04-30 10:41:40,0
2019-04-30 10:41:41,0
2019-04-30 10:41:42,0
2019-04-30 10:41:43,0
2019-04-30 10:41:44,0
2019-04-30 10:41:45,0
2019-04-30 10:41:46,0
2019-04-30 10:41:47,0
2019-04-30 10:41:48,0
2019-04-30 10:41:49,0
2019-04-30 10:41:50,0
2019-04-30 10:41:51,0
2019-04-30 10:41:52,0
2019-04-30 10:41:53,0
2019-04-30 10:41:54,0
2019-04-30 10:41:55,0
2019-04-30 10:41:56,0
2019-04-30 10:41:57,0
2019-04-30 10:41:58,0
2019-04-30 10:41:59,0
2019-04-30 10:42:00,0
2019-04-30 10:42:01,0
2019-04-30 10:42:02,0
2019-04-30 10:42:03,0
2019-04-30 10:42:04,0
2019-04-30 10:42:05,0
2019-04-30 10:42:06,0
2019-04-30 10:42:07,0
2019-04-30 10:42:08,0
2019-04-30 10:42:09,0
2019-04-30 10:42:10,0
2019-04-30 10:42:11,0
2019-04-30 10:42:12,0
2019-04-30 10:42:13,0
2019-04-30 10:42:14,0
2019-04-30 10:42:15,0
2019-04-30 10:42:16,0
2019-04-30 10:42:17,0
2019-04-30 10:42:18,0
2019-04-30 10:42:19,0
2019-04-30 10:42:20,0
2019-04-30 10:42:21,0
2019-04-30 10:42:22,0
2019-04-30 10:42:23,0
2019-04-30 10:42:24,0
2019-04-30 10:42:25,0
2019-04-30 10:42:26,0
2019-04-30 10:42:27,0
2019-04-30 10:42:28,0
2019-04-30 10:42:29,0
2019-04-30 10:42:30,0
2019-04-30 10:42:31,0
2019-04-30 10:42:32,0
2019-04-30 10:42:33,0
2019-04-30 10:42:34,0
2019-04-30 10:42:35,0
2019-04-30 10:42:36,0
2019-04-30 10:42:37,0
2019-04-30 10:42:38,0
2019-04-30 10:42:39,0
2019-04-30 10:42:40,0
2019-04-30 10:42:41,0
2019-04-30 10:42:42,0
2019-04-30 10:42:43,0
2019-04-30 10:42:44,0
2019-04-30 10:42:45,0
2019-04-30 10:42:46,0
2019-04-30 10:42:47,0
2019-04-30 10:42:48,0
2019-04-30 10:42:49,0
2019-04-30 10:42:50,0
2019-04-30 10:42:51,0
2019-04-30 10:42:52,0
2019-04-30 10:42:53,0
2019-04-30 10:42:54,0
2019-04-30 10:42:55,0
2019-04-30 10:42:56,0
2019-04-30 10:42:57,0
2019-04-30 10:42:58,0
2019-04-30 10:42:59,0
2019-04-30 10:43:00,0
2019-04-30 10:43:01,0
2019-04-30 10:43:02,0
2019-04-30 10:43:03,0
2019-04-30 10:43:04,0
2019-04-30 10:43:05,0
2019-04-30 10:43:06,0
2019-04-30 10:43:07,0
2019-04-30 10:43:08,0
2019-04-30 10:43:09,0
2019-04-30 10:43:10,0
2019-04-30 10:43:11,0
2019-04-30 10:43:12,0
2019-04-30 10:43:13,0
2019-04-30 10:43:14,0
2019-04-30 10:43:15,0
2019-04-30 10:43:16,0
2019-04-30 10:43:17,0
2019-04-30 10:43:18,0
2019-04-30 10:43:19,0
2019-04-30 10:43:20,0
2019-04-30 10:43:21,0
2019-04-30 10:43:22,0
2019-04-30 10:43:23,0
